method,lead,n,track_km,track_med_km,vmax_mae_kt,vmax_bias_kt,n_storms,track_skill_pct,vmax_skill_pct
agent_mini_qwen14b,24,1317,76.69074389324516,51.52224186727284,11.957594448727834,-1.6629144178874327,165,0.0,4.47299694490983
agent_full_qwen14b,24,1317,73.61894187500583,48.153502979208916,12.552351580570548,-1.5542020046260603,165,4.005440372980768,-0.27840741105745187
hybrid_static,24,1317,72.17843115429106,44.16147572985797,12.033538936006169,1.1350038550501156,165,5.883777506755329,3.866290529220462
cons_weighted,24,1317,76.69074389324516,51.52224186727284,12.517501927525059,-4.659367771781033,165,0.0,0.0
agent_mini_qwen14b,48,1136,137.11978177785204,86.16886753733372,16.383897529734675,-0.14602012808783157,145,0.0,6.040254370684406
agent_full_qwen14b,48,1136,130.86525620169434,79.00261145658313,16.765782250686186,-0.12168344007319305,145,4.561359050505689,3.850189938506085
hybrid_static,48,1136,127.28089715549307,69.93825339222883,16.431290027447393,1.0982616651418113,145,7.175394020316461,5.768463911683837
cons_weighted,48,1136,137.11978177785204,86.16886753733372,17.437145471180237,-8.342909423604757,145,0.0,0.0
agent_mini_qwen14b,72,935,225.9260222596755,132.83727843229423,18.539659090909087,1.9707954545454547,123,0.0,2.2380815416696698
agent_full_qwen14b,72,935,214.1024859547216,120.10852798907732,18.488863636363636,1.1752272727272728,123,5.233366296939506,2.5059322643273054
hybrid_static,72,935,216.82065545063313,105.7161293750255,17.894545454545455,1.1575,123,4.030242606837395,5.639845641283752
cons_weighted,72,935,225.9260222596755,132.83727843229423,18.964090909090906,-9.482727272727272,123,0.0,0.0
