method,lead,n,track_km,track_med_km,vmax_mae_kt,vmax_bias_kt,n_storms,track_skill_pct,vmax_skill_pct
cons_bc,24,1296,75.13709335946547,51.147680946000776,12.017592592592592,1.1106481481481483,164,0.0,0.0
cons_aiwp,24,1296,70.51266433312425,43.89472806956222,26.165740740740745,-25.877314814814813,164,6.154655203678638,-117.72863856999773
hybrid_static,24,1296,70.51266433312425,43.89472806956222,12.017592592592592,1.1106481481481483,164,6.154655203678638,0.0
static_convex,24,1296,69.9446402888965,44.27221638542544,12.017592592592592,1.1106481481481483,164,6.910638725040392,0.0
gbt_static,24,1296,73.05834198721986,48.94553133054306,12.017592592592592,1.1106481481481483,164,2.766611375689758,0.0
gbt_case,24,1296,64.98510257086966,47.14736031785145,12.017592592592592,1.1106481481481483,164,13.511290275799448,0.0
gbt_shuffled,24,1296,68.63674078505704,47.41580094849196,12.017592592592592,1.1106481481481483,164,8.651322913583982,0.0
learned_gbt2,24,1296,64.98510257086966,47.14736031785145,10.930787037037037,1.0224537037037038,164,13.511290275799448,9.043454811618767
learned_gbt_contract,24,1296,66.0927251902691,47.5314960696317,11.188117283950616,0.8907407407407408,164,12.037154705901314,6.902175308832224
analog_median,24,1296,70.51266433312425,43.89472806956222,12.277006172839506,2.0949074074074074,164,6.154655203678638,-2.1586151989110647
analog_linear,24,1296,70.51266433312425,43.89472806956222,12.193981481481481,0.6674382716049383,164,6.154655203678638,-1.467755605208414
agent_full_qwen14b,24,1296,72.06910256160661,47.720854665573825,12.536342592592593,-1.5810956790123456,164,4.0831906860985345,-4.316588335002702
agent_mini_qwen14b,24,1296,75.13709335946547,51.147680946000776,11.936496913580248,-1.6945216049382716,164,0.0,0.6748080232169816
cons_bc,48,1125,136.19264207611616,85.81954337392213,16.452153987167733,1.0910174152153984,145,0.0,0.0
cons_aiwp,48,1125,126.08463519077974,69.58087008594615,27.014115490375804,-26.655545371219066,145,7.421845065379669,-64.19804672048497
hybrid_static,48,1125,126.08463519077974,69.58087008594615,16.452153987167733,1.0910174152153984,145,7.421845065379669,0.0
static_convex,48,1125,125.89054062782083,73.01802284311077,16.452153987167733,1.0910174152153984,145,7.564359785705333,0.0
gbt_static,48,1125,130.16274155904182,77.84383412162855,16.452153987167733,1.0910174152153984,145,4.427478918945057,0.0
gbt_case,48,1125,119.24578205311448,75.36633435520741,16.452153987167733,1.0910174152153984,145,12.443300728045436,0.0
gbt_shuffled,48,1125,124.77495188392355,76.16787481222957,16.452153987167733,1.0910174152153984,145,8.383485347036165,0.0
learned_gbt2,48,1125,119.24578205311448,75.36633435520741,15.238680109990835,0.6210815765352886,145,12.443300728045436,7.3757750998646
learned_gbt_contract,48,1125,120.87977424014692,76.85621951137061,15.615490375802016,0.49780018331805653,145,11.243535335345868,5.085435086605033
analog_median,48,1125,126.08463519077974,69.58087008594615,18.556828597616864,3.5953253895508706,145,7.421845065379669,-12.792699436746847
analog_linear,48,1125,126.08463519077974,69.58087008594615,18.003758020164984,1.4448212648945924,145,7.421845065379669,-9.431008451583072
agent_full_qwen14b,48,1125,129.89221876249613,78.77181116797057,16.791750687442715,-0.11714023831347384,145,4.6261113798635405,-2.0641473483645862
agent_mini_qwen14b,48,1125,136.19264207611616,85.81954337392213,16.40357470210816,-0.13923006416131978,145,0.0,0.2952761389023282
cons_bc,72,928,226.66941711729982,132.5943903882407,17.900796359499434,1.1447098976109216,123,0.0,0.0
cons_aiwp,72,928,217.80602403867064,105.92274535944892,26.71217292377702,-26.200910125142205,123,3.9102730272793838,-49.223377481760146
hybrid_static,72,928,217.80602403867064,105.92274535944892,17.900796359499434,1.1447098976109216,123,3.9102730272793838,0.0
static_convex,72,928,212.29215938353659,114.00814947315703,17.900796359499434,1.1447098976109216,123,6.3428308576463595,0.0
gbt_static,72,928,221.1831818181615,119.45068956351894,17.900796359499434,1.1447098976109216,123,2.4203685565129534,0.0
gbt_case,72,928,183.0694830119783,118.11419932895913,17.900796359499434,1.1447098976109216,123,19.23503164203174,0.0
gbt_shuffled,72,928,192.0670936720848,120.15080832637214,17.900796359499434,1.1447098976109216,123,15.26554569437506,0.0
learned_gbt2,72,928,183.0694830119783,118.11419932895913,17.183731513083046,1.0415244596131965,123,19.23503164203174,4.005770648498902
learned_gbt_contract,72,928,186.79158542259057,119.69854852848744,17.88259385665529,1.233674630261661,123,17.592947562958063,0.10168543610342881
analog_median,72,928,217.80602403867064,105.92274535944892,21.340159271899886,3.9283276450511946,123,3.9102730272793838,-19.21346315174007
analog_linear,72,928,217.80602403867064,105.92274535944892,20.61968145620023,1.9898748577929466,123,3.9102730272793838,-15.188626483971825
agent_full_qwen14b,72,928,214.88825212756097,120.37826784053065,18.502730375426623,1.1693970420932878,123,5.197509721235208,-3.3626102651447654
agent_mini_qwen14b,72,928,226.66941711729982,132.5943903882407,18.55494880546075,1.9672354948805462,123,0.0,-3.654320359966421
