methods: {'agent_full_qwen14b': 1429, 'agent_full_qwen72b': 1431, 'hybrid_static': 1319, 'hybrid_rules': 1319, 'cons_aiwp': 1319, 'cons_bc': 1431}
                  stratum             method  lead    n  track_km  track_med_km  vmax_mae_kt  vmax_bias_kt  n_storms
                 basin=NI agent_full_qwen72b    48   24      96.3          80.8         19.6           4.3         6
                 basin=NI      hybrid_static    48   24      95.1          77.4         17.7          -0.3         6
                 basin=NI       hybrid_rules    48   24      95.1          77.4         17.7          -0.3         6
                 basin=NI          cons_aiwp    48   24      95.1          77.4         26.1         -25.9         6
                 basin=NI            cons_bc    48   24      96.5          79.3         17.7          -0.3         6
                 basin=NI agent_full_qwen14b    72   14     154.8         115.5         23.4          14.9         5
                 basin=NI agent_full_qwen72b    72   14     156.8         110.4         21.4           5.5         5
                 basin=NI      hybrid_static    72   14     161.7         144.0         17.9           6.3         5
                 basin=NI       hybrid_rules    72   14     161.7         144.0         17.9           6.3         5
                 basin=NI          cons_aiwp    72   14     161.7         144.0         19.0         -17.8         5
                 basin=NI            cons_bc    72   14     154.8         118.2         17.9           6.3         5
                 basin=NA agent_full_qwen14b    24  332      90.0          51.8         11.1          -2.7        33
                 basin=NA agent_full_qwen72b    24  332      92.8          56.7         11.1          -2.4        33
                 basin=NA      hybrid_static    24  332      81.6          43.7          9.5           0.9        33
                 basin=NA       hybrid_rules    24  332      81.6          43.7          9.5           1.3        33
                 basin=NA          cons_aiwp    24  332      81.6          43.7         24.9         -24.9        33
                 basin=NA            cons_bc    24  332      93.5          57.6          9.5           0.9        33
                 basin=NA agent_full_qwen14b    48  288     153.8          84.6         13.8          -1.5        31
                 basin=NA agent_full_qwen72b    48  288     159.5          85.5         13.1          -2.3        31
                 basin=NA      hybrid_static    48  288     145.0          71.8         12.3           0.7        31
                 basin=NA       hybrid_rules    48  288     145.0          71.8         12.1           0.5        31
                 basin=NA          cons_aiwp    48  288     145.0          71.8         26.7         -26.7        31
                 basin=NA            cons_bc    48  288     163.8          93.0         12.3           0.7        31
                 basin=NA agent_full_qwen14b    72  237     269.9         125.4         14.5          -2.5        27
                 basin=NA agent_full_qwen72b    72  237     270.2         133.9         14.2          -4.3        27
                 basin=NA      hybrid_static    72  237     269.9         105.5         13.4          -1.3        27
                 basin=NA       hybrid_rules    72  237     269.9         105.5         13.4          -1.4        27
                 basin=NA          cons_aiwp    72  237     269.9         105.5         28.9         -28.9        27
                 basin=NA            cons_bc    72  237     285.9         143.0         13.4          -1.3        27
    intensity=TS(34-63kt) agent_full_qwen14b    24  893      81.1          51.4         10.3          -0.0       165
    intensity=TS(34-63kt) agent_full_qwen72b    24  893      82.9          56.5         10.4          -0.2       165
    intensity=TS(34-63kt)      hybrid_static    24  893      80.7          48.6          9.9           2.9       165
    intensity=TS(34-63kt)       hybrid_rules    24  893      80.7          48.6         10.0           3.7       165
    intensity=TS(34-63kt)          cons_aiwp    24  893      80.7          48.6         17.1         -16.7       165
    intensity=TS(34-63kt)            cons_bc    24  893      84.0          55.4          9.9           2.9       165
    intensity=TS(34-63kt) agent_full_qwen14b    48  756     142.4          87.4         15.1           1.6       145
    intensity=TS(34-63kt) agent_full_qwen72b    48  756     145.4          89.0         15.0           1.2       145
    intensity=TS(34-63kt)      hybrid_static    48  756     139.6          78.2         15.2           2.9       145
    intensity=TS(34-63kt)       hybrid_rules    48  756     139.6          78.2         15.1           2.8       145
    intensity=TS(34-63kt)          cons_aiwp    48  756     139.6          78.2         21.3         -20.8       145
    intensity=TS(34-63kt)            cons_bc    48  756     148.5          91.7         15.2           2.9       145
