method,lead,n,track_km,track_med_km,vmax_mae_kt,vmax_bias_kt,n_storms,track_skill_pct,vmax_skill_pct
agent_single_qwen14b,48,1102,125.96699222107719,75.22393241087227,16.664672897196258,2.600747663551402,144,71.21659986791302,14.072717634869795
agent_single_refine_qwen14b,48,1102,126.27324307294329,75.95949157067798,16.462616822429908,2.7768224299065425,144,71.14662168827543,15.11457003108209
agent_no_analogs_qwen14b,48,1102,126.39167170801366,79.12175526481346,17.32448598130841,2.303551401869159,144,71.11956079930584,10.670553935860072
agent_no_auditor_qwen14b,48,1102,126.33270059469187,78.28240028345346,16.848971962616822,3.9276635514018694,144,71.13303567173907,13.122424884948082
agent_no_diagnostics_qwen14b,48,1102,126.40661219741702,76.72360757702242,16.789252336448598,0.7858878504672897,144,71.11614690430777,13.430354432209725
agent_full_qwen14b_anon,48,1102,128.53516075494812,78.99555841753335,16.503831775700938,-0.8608411214953271,144,70.62977453205593,14.902055273112774
agent_full_qwen14b_gateadv,48,1102,122.97574942127187,75.9627957487387,16.663831775700935,-0.7748598130841119,144,71.90009748011222,14.077054670746698
agent_featmatch_qwen14b,48,1102,149.09591064909264,97.0011822518832,16.651588785046727,-0.5229906542056079,144,65.9316525813446,14.140182637399725
agent_featmatch_fs_qwen14b,48,1102,198.9197774976177,159.76818459330903,16.739345794392527,-0.6086915887850468,144,54.54692178526418,13.687685227573896
agent_full_qwen14b_t0,48,1102,126.52841659595484,77.50256529369398,16.61392523364486,-0.3195327102803738,144,71.08831465492922,14.334385466110888
agent_full_qwen14b_strongprior,48,1102,127.52802973419338,77.92322067702423,14.850280373831776,-0.2885981308411215,144,70.85990350985152,23.42818591427126
pangu,48,1102,145.64995822898896,79.50181266857453,25.953644859813082,-25.42411214953271,144,66.7190511338948,-33.823579018384194
fengwu,48,1102,127.40562783318305,71.2152627581989,28.180841121495327,-27.908504672897195,144,70.88787228827186,-45.30756812760522
